,player_name,gp,pts,reb,ast,net_rating,season
0,Dennis Rodman,55,5.7,16.1,3.1,16.1,1996-97
1,Dwayne Schintzius,15,2.3,1.5,0.3,12.3,1996-97
2,Earl Cureton,9,0.8,1,0.4,-2.1,1996-97
3,Ed O'Bannon,64,3.7,2.3,0.6,-8.7,1996-97
4,Ed Pinckney,27,2.4,2.4,0.2,-11.2,1996-97
5,Eddie Johnson,52,8.2,2.7,1,4.1,1996-97
6,Eddie Jones,80,17.2,4.1,3.4,4.1,1996-97
7,Elden Campbell,77,14.9,8,1.6,3.3,1996-97
8,Eldridge Recasner,71,5.7,1.6,1.3,-0.3,1996-97
9,Elliot Perry,82,6.9,1.5,3,-1.2,1996-97
10,Elmer Bennett,9,2.4,0.4,1.2,-7.4,1996-97
11,Elmore Spencer,1,0,0,0,-147.5,1996-97
12,Emanual Davis,13,5,1.7,2,6.6,1996-97
13,Ennis Whatley,3,1.3,1,1,-57.4,1996-97
14,Eric Leckner,20,1.7,1.8,0.3,-3.9,1996-97
15,Eric Mobley,28,2.6,2.1,0.5,-15.4,1996-97
16,Eric Montross,78,4.4,6.6,0.8,-6.6,1996-97
17,Eric Murdock,12,3.8,0.9,2,-1.4,1996-97
18,Eric Piatkowski,65,6,1.6,0.8,2.4,1996-97
19,Eric Snow,67,3,1,2.4,-1.2,1996-97
20,Eric Williams,72,15,4.6,1.8,-6.8,1996-97
21,Erick Dampier,72,5.1,4.1,0.6,-2,1996-97
22,Erick Strickland,28,10.6,3.2,2.4,-6.4,1996-97
23,Ervin Johnson,82,7.1,11.1,0.9,-5.9,1996-97
24,Duane Ferrell,62,6.4,2.3,1.1,2.3,1996-97
25,Duane Causwell,46,2.6,2.8,0.4,-11.8,1996-97
26,Doug West,68,7.8,2.2,1.7,-3.1,1996-97
27,Doug Overton,61,3.6,1.1,1.7,-1.3,1996-97
28,Dell Demps,2,1,0,0,-53.7,1996-97
29,Dennis Scott,66,12.5,3.1,2.1,1.9,1996-97
30,Derek Fisher,80,3.9,1.2,1.5,5.1,1996-97
31,Derek Harper,75,10,1.8,4.3,-7.7,1996-97
32,Derek Strong,82,8.5,6.3,0.9,-0.7,1996-97
33,Derrick Alston,2,0,2,0,-39.9,1996-97
34,Derrick Coleman,57,18.1,10.1,3.4,-5.4,1996-97
35,Derrick McKey,50,8,4.8,2.7,-0.2,1996-97
36,Detlef Schrempf,61,16.8,6.5,4.4,12.2,1996-97
37,Devin Gray,6,3,2.3,0.3,-42.1,1996-97
38,Dexter Boney,8,2.4,0.8,0,-19.6,1996-97
39,Evric Gray,5,2.6,0.6,0.4,17.5,1996-97
40,Dickey Simpkins,48,1.9,1.9,0.6,-0.9,1996-97
41,Dino Radja,25,14,8.4,1.9,-3.3,1996-97
42,Dominique Wilkins,63,18.2,6.4,1.9,-10.3,1996-97
43,Don MacLean,37,10.9,3.8,1,-5.9,1996-97
44,Don Reid,47,2.8,2.1,0.3,-1.5,1996-97
45,Donald Royal,62,3.5,2.5,0.4,-4.6,1996-97
46,Donald Whiteside,27,2.2,0.4,1.3,-12.4,1996-97
47,Donnie Boyce,22,2.5,0.7,0.6,-10.3,1996-97
48,Donny Marshall,56,3.1,1.3,0.4,-8.7,1996-97
49,Dontonio Wingfield,47,4.5,2.9,1,1.3,1996-97
50,Donyell Marshall,61,7.3,4.5,0.9,-8.6,1996-97
51,Doug Christie,81,14.5,5.3,3.9,-2.6,1996-97
52,Dikembe Mutombo,80,13.3,11.6,1.4,8.1,1996-97
53,Dell Curry,68,14.8,3.1,1.7,1.6,1996-97
54,Felton Spencer,73,5.1,5.7,0.3,-1.2,1996-97
55,Frankie King,7,2.9,2,0.7,1.4,1996-97
56,Horacio Llamas,20,1.7,0.9,0.2,11.5,1996-97
57,Hot Rod Williams,68,8,8.3,1.5,4.3,1996-97
58,Howard Eisley,82,4.5,1,2.4,2.5,1996-97
59,Hubert Davis,36,5,1.1,0.9,-3.3,1996-97
60,Ike Austin,82,9.7,5.8,1.2,2.9,1996-97
61,Isaiah Rider,76,16.1,4,2.6,3.4,1996-97
62,Ivano Newbill,72,1.4,2.8,0.3,2.5,1996-97
63,Jack Haley,20,2,1.6,0.3,5,1996-97
64,Jalen Rose,66,7.3,1.8,2.3,1.3,1996-97
65,Jamal Mashburn,69,11.9,4.3,2.9,1.4,1996-97
66,James Robinson,69,8.3,1.6,1.8,-2.7,1996-97
67,James Scott,8,0.1,0.8,0.4,-14.7,1996-97
68,Jamie Feick,41,3.7,5.2,0.6,-12.2,1996-97
69,Jamie Watson,23,3.4,2,1.4,-7.8,1996-97
70,Jaren Jackson,75,5,1.8,0.9,1.7,1996-97
71,Jason Caffey,75,7.3,4,1.2,9,1996-97
72,Jason Kidd,55,10.9,4.5,9,2.4,1996-97
73,Jason Sasser,8,2.4,1,0.3,-24.2,1996-97
74,Jayson Williams,41,13.4,13.5,1.2,-8.8,1996-97
75,Jeff Grayer,25,3.6,1.5,1,0.7,1996-97
76,Jeff Hornacek,82,14.5,2.9,4.4,14.4,1996-97
77,Jeff McInnis,13,5,0.5,1.4,-17.8,1996-97
78,Jermaine O'Neal,45,4.1,2.8,0.2,1.3,1996-97
79,Horace Grant,67,12.6,9,2.4,1.1,1996-97
80,Hersey Hawkins,82,13.9,3.9,3,10.3,1996-97
81,Herb Williams,21,1.9,1.5,0.2,-10.8,1996-97
82,Henry James,53,6.7,1.5,0.4,1.2,1996-97
83,Fred Roberts,12,1.8,0.8,0,-13.1,1996-97
84,Gary Grant,28,3.9,1.4,1.6,3.2,1996-97
85,Gary Payton,82,21.8,4.6,7.1,10.3,1996-97
86,Gary Trent,82,10.8,5.2,1.1,2.5,1996-97
87,Gaylon Nickerson,4,3.8,1.3,0.3,8.9,1996-97
88,George Lynch,41,8.3,6.4,1.9,-8.2,1996-97
89,George McCloud,64,10.2,2.8,1.7,-2.7,1996-97
90,George Zidek,52,2.8,1.7,0.3,-14.1,1996-97
91,Gerald Wilkins,80,10.6,2.2,2.2,-5.8,1996-97
92,Gheorghe Muresan,73,10.6,6.6,0.4,6.9,1996-97
93,Glen Rice,79,26.8,4,2,3.2,1996-97
94,Frank Brickowski,17,4.8,2,0.9,-22.4,1996-97
95,Glenn Robinson,80,21.1,6.3,3.1,-2.9,1996-97
96,Grant Long,65,5,3.4,0.6,4,1996-97
97,Greg Anderson,82,3.9,5.5,0.4,-14.2,1996-97
98,Greg Anthony,65,9.5,2.8,6.3,-9.4,1996-97
99,Greg Dreiling,40,2,1.9,0.3,-8,1996-97
100,Greg Foster,79,3.5,2.4,0.4,-0.9,1996-97
101,Greg Graham,28,3.3,0.5,0.4,3.6,1996-97
102,Greg Minor,23,9.6,3.5,1.5,-2.1,1996-97
103,Greg Ostertag,77,7.3,7.3,0.4,15.9,1996-97
104,Hakeem Olajuwon,78,23.2,9.2,3,6.5,1996-97
105,Harvey Grant,78,4.1,3.3,0.9,1.7,1996-97
106,Haywoode Workman,4,5.5,1.8,2.8,-7.3,1996-97
107,Grant Hill,80,21.4,9,7.3,6.9,1996-97
108,Dee Brown,21,7.6,2.3,3.2,-7.5,1996-97
109,Dean Garrett,68,8,7.3,0.6,1.2,1996-97
110,David Wood,46,1.2,0.6,0.3,3.9,1996-97
111,Ashraf Amaya,31,1.3,1.7,0.1,-8.6,1996-97
112,Avery Johnson,76,10.5,1.9,6.8,-8.6,1996-97
113,B.J. Armstrong,49,7.9,1.5,2.6,-6.5,1996-97
114,Ben Davis,20,1.5,1.4,0,-0.4,1996-97
115,Ben Wallace,34,1.1,1.7,0.1,-3.5,1996-97
116,Benoit Benjamin,4,3.3,2.3,0.3,-9.1,1996-97
117,Bill Wennington,61,4.6,2.1,0.7,7.7,1996-97
118,Billy Owens,66,11,5.9,2.8,-3,1996-97
119,Bimbo Coles,51,6.1,2.3,2.9,-6.3,1996-97
120,Bison Dele,9,7,3.7,1.3,0.9,1996-97
121,Blue Edwards,61,7.8,3.1,1.9,-11.1,1996-97
122,Bo Outlaw,82,7.6,5.5,1.9,4,1996-97
123,Bob Sura,82,9.2,3.8,4.8,1,1996-97
124,Bobby Hurley,49,2.9,0.8,3,-2.6,1996-97
125,Bobby Phills,69,12.6,3.6,3.4,3.3,1996-97
126,Brad Lohaus,6,1.7,1.2,0.2,-38.4,1996-97
127,Brent Barry,59,7.5,1.9,2.6,4.1,1996-97
128,Brent Price,25,5,1.2,2.6,2.9,1996-97
129,Brent Scott,16,1.2,0.6,0.2,4.9,1996-97
130,Brett Szabo,70,2.2,2.4,0.2,-11.1,1996-97
131,Brian Evans,14,1.4,0.6,0.5,-12.5,1996-97
132,Brian Grant,24,10.5,5.9,1.2,-7.7,1996-97
133,Brian Shaw,77,7.2,2.5,4.1,-10.5,1996-97
134,Arvydas Sabonis,69,13.4,7.9,2.1,8.1,1996-97
135,Armen Gilliam,80,8.6,6.2,0.7,-3.7,1996-97
136,Antonio McDyess,74,18.3,7.3,1.4,-7.5,1996-97
137,Antonio Lang,64,2.7,2,0.5,0.7,1996-97
138,A.C. Green,83,7.2,7.9,0.8,-8,1996-97
139,Aaron McKie,83,5.2,2.7,1.9,5.2,1996-97
140,Aaron Williams,33,6.2,4.3,0.5,-8.3,1996-97
141,Acie Earl,47,4,2,0.4,-6.4,1996-97
142,Adam Keefe,62,3.8,3.5,0.5,6.7,1996-97
143,Adrian Caldwell,45,2.2,3.7,0.3,-6.2,1996-97
144,Alan Henderson,30,6.6,3.9,0.8,-9.7,1996-97
145,Aleksandar Djordjevic,8,3.1,0.6,0.6,4.8,1996-97
146,Allan Houston,81,14.8,3,2.2,2.9,1996-97
147,Allen Iverson,76,23.5,4.1,7.5,-7,1996-97
148,Alonzo Mourning,66,19.8,9.9,1.6,10.5,1996-97
149,Brooks Thompson,67,6.6,1.4,2.7,-6.2,1996-97
150,Alton Lister,53,1.6,3.2,0.2,-13.3,1996-97
151,Andrew DeClercq,71,5.3,4.2,0.5,-5.6,1996-97
152,Andrew Lang,52,5.3,5.3,0.5,-1.2,1996-97
153,Anfernee Hardaway,59,20.5,4.5,5.6,4.6,1996-97
154,Anthony Goldwire,60,6.5,1.4,3.7,-4.1,1996-97
155,Anthony Mason,73,16.2,11.4,5.7,2.6,1996-97
156,Anthony Miller,1,0,7,0,-50,1996-97
157,Anthony Peeler,72,14.5,3.4,3.6,-10.4,1996-97
158,Antoine Carr,82,7.4,2.4,0.9,2.2,1996-97
159,Antoine Walker,82,17.5,9,3.2,-9.3,1996-97
160,Antonio Davis,82,10.5,7.3,0.8,3.4,1996-97
161,Antonio Harvey,6,2.5,1.7,0.2,1.4,1996-97
162,Amal McCaskill,17,1.6,1.3,0.4,-15.7,1996-97
163,Bruce Bowen,1,0,0,0,300,1996-97
164,Bryant Reeves,75,16.2,8.1,2.1,-10.6,1996-97
165,Bryant Stith,52,14.9,4.2,2.6,-5.6,1996-97
166,Clifford Robinson,81,15.1,4,3.2,4.4,1996-97
167,Clifford Rozier,42,4.5,5.6,0.7,-6.3,1996-97
168,Clyde Drexler,62,18,6,5.7,7.5,1996-97
169,Corie Blount,58,4.2,4.8,0.6,2,1996-97
170,Corliss Williamson,79,11.6,4.1,1.6,-4.2,1996-97
171,Cory Alexander,80,7.2,1.5,3.2,-8.8,1996-97
172,Craig Ehlo,62,3.5,1.8,1.1,5.7,1996-97
173,Cuonzo Martin,3,0,0.3,0.3,-12.1,1996-97
174,Dale Davis,80,10.4,9.7,0.7,-0.2,1996-97
175,Dale Ellis,82,16.6,3.6,2,-9.1,1996-97
176,Damon Stoudamire,81,20.2,4.1,8.8,-3.7,1996-97
177,Clar. Weatherspoon,82,12.2,8.3,1.7,-8.3,1996-97
178,Dan Majerle,36,10.8,4.5,3.2,4.7,1996-97
179,Dana Barros,24,12.5,2,3.4,-10,1996-97
180,Danny Ferry,82,10.6,4.1,1.8,2.3,1996-97
181,Danny Manning,77,13.5,6.1,2.2,3.1,1996-97
182,Darrell Armstrong,67,6.1,1.1,2.6,0.3,1996-97
183,Darrick Martin,82,10.9,1.4,4.1,-4.5,1996-97
184,Darrin Hancock,24,1.8,0.8,0.5,-2.6,1996-97
185,Darvin Ham,36,2.3,1.6,0.4,-2,1996-97
186,David Robinson,6,17.7,8.5,1.3,9.6,1996-97
187,David Vaughn,35,2.3,2.7,0.2,-7.5,1996-97
188,David Wesley,74,16.8,3.6,7.3,-7.4,1996-97
189,David Wingate,65,3.6,1.1,1.2,2.8,1996-97
190,Dan Schayes,45,3,2.8,0.3,-1.5,1996-97
191,Jerome Allen,76,3,1.3,2,-3.7,1996-97
192,Chucky Brown,70,2.9,2.1,0.4,-5.9,1996-97
193,Chris Whitney,82,5.2,1.3,2.2,2,1996-97
194,Bryon Russell,81,10.8,4.1,1.5,13.5,1996-97
195,Buck Williams,74,6.3,5.4,0.7,6.9,1996-97
196,Byron Scott,79,6.7,1.5,1.3,6.7,1996-97
197,Calbert Cheaney,79,10.6,3.4,1.4,2,1996-97
198,Carl Herrera,75,8,4.5,0.7,-9.7,1996-97
199,Carl Thomas,19,1.1,0.7,0.4,-8.9,1996-97
200,Carlos Rogers,56,9.8,5.4,0.7,-5.7,1996-97
201,Cedric Ceballos,50,14.6,6.6,1.3,4.1,1996-97
202,Charles Barkley,53,19.2,13.5,4.7,7.5,1996-97
203,Charles Jones,12,0.3,1.1,0.3,2.6,1996-97
204,Charles Oakley,80,10.8,9.8,2.8,3.4,1996-97
205,Christian Laettner,82,18.1,8.8,2.7,11,1996-97
206,Charles Smith,19,4.6,3.4,0.7,-4.9,1996-97
207,Cherokee Parks,76,3.3,2.6,0.4,-0.6,1996-97
208,Chris Carr,55,6.1,2.1,0.9,3.8,1996-97
209,Chris Childs,65,9.3,2.9,6.1,5.2,1996-97
210,Chris Dudley,81,3.9,7.3,0.5,-0.2,1996-97
211,Chris Gatling,47,19,7.9,0.6,-4.1,1996-97
212,Chris Jent,3,2,0.3,0.3,-29.8,1996-97
213,Chris Mills,80,13.4,6.2,2.5,4.5,1996-97
214,Chris Morris,73,4.3,2.2,0.6,-7.3,1996-97
215,Chris Mullin,79,14.5,4,4.1,-4.9,1996-97
216,Chris Robinson,41,4.6,1.7,1.6,-11.4,1996-97
217,Chris Webber,72,20.1,10.3,4.6,3.4,1996-97
218,Charlie Ward,79,5.2,2.8,4.1,4,1996-97
219,Jerome Kersey,70,6.8,5.2,1.3,4.1,1996-97
220,Fred Hoiberg,47,4.8,1.7,0.9,4.9,1996-97
221,Jerry Stackhouse,81,20.7,4.2,3.1,-6.8,1996-97
222,Rumeal Robinson,54,3.3,0.9,1.4,4.5,1996-97
223,Sam Cassell,61,15.9,3,5,-1.7,1996-97
224,Sam Mack,52,5.6,2,1.1,-1.7,1996-97
225,Sam Mitchell,82,9.3,4,1,-4.9,1996-97
226,Sam Perkins,81,11,3.7,1.3,10.6,1996-97
227,Samaki Walker,43,4.9,3.4,0.4,-12.6,1996-97
228,Sarunas Marciulionis,17,6.8,1.8,1.5,-7.6,1996-97
229,Sasha Danilovic,56,12.5,2.4,1.8,1.5,1996-97
230,Scott Brooks,38,1.5,0.5,0.8,3.8,1996-97
231,Scott Burrell,57,5.2,2.8,1.3,1.4,1996-97
232,Scott Williams,62,5.8,6.4,0.7,-4.6,1996-97
233,Ruben Nembhard,10,4,0.8,1.7,-0.3,1996-97
234,Scottie Pippen,82,20.2,6.5,5.7,13.5,1996-97
235,Sean Rooks,69,3.8,2.4,0.6,1.3,1996-97
236,Sedale Threatt,21,3.3,1.1,1.9,-3.5,1996-97
237,Shandon Anderson,65,5.9,2.8,0.8,2.5,1996-97
238,Shane Heal,43,1.7,0.4,0.8,-0.7,1996-97
239,Shaquille O'Neal,51,26.2,12.5,3.1,6.9,1996-97
240,Shareef Abdur-Rahim,80,18.7,6.9,2.2,-12.3,1996-97
241,Sharone Wright,60,6.5,3.1,0.5,-9.3,1996-97
242,Shawn Bradley,73,13.2,8.4,0.7,-5.9,1996-97
243,Shawn Kemp,81,18.7,10,1.9,8.9,1996-97
244,Jerome Williams,33,1.5,1.5,0.2,3,1996-97
245,Shawnelle Scott,16,1.3,1,0,6.8,1996-97
246,Sean Elliott,39,14.9,4.9,3.2,-5.7,1996-97
247,Sherman Douglas,79,9.7,2.4,5.4,-3,1996-97
248,Roy Rogers,82,6.6,4.7,0.6,-13.6,1996-97
249,Ron Harper,76,6.3,2.5,2.5,14,1996-97
250,Randolph Childress,23,1.7,0.3,0.7,-0.9,1996-97
251,Randy Brown,72,4.7,1.5,1.8,10.4,1996-97
252,Randy Livingston,64,3.9,1.5,2.4,0.3,1996-97
253,Rasheed Wallace,62,15.1,6.8,1.2,7.8,1996-97
254,Ray Allen,82,13.4,4,2.6,-2,1996-97
255,Ray Owes,57,3.1,2.9,0.3,-8,1996-97
256,Reggie Geary,39,1.5,0.4,0.9,7.7,1996-97
257,Reggie Jordan,19,2.1,1.4,0.6,4.2,1996-97
258,Reggie Miller,81,21.6,3.5,3.4,0.9,1996-97
259,Reggie Slater,26,7.8,3.7,0.8,1.5,1996-97
260,Reggie Williams,13,5.8,2.4,0.8,-12.8,1996-97
261,Rony Seikaly,74,17.3,9.5,1.2,-1.7,1996-97
262,Rex Chapman,65,13.8,2.8,2.8,2.7,1996-97
263,Richard Manning,26,2.9,1.5,0.1,-6.8,1996-97
264,Rick Fox,76,15.4,5.2,3.8,-6.9,1996-97
265,Rick Mahorn,22,2.5,2.4,0.3,-0.1,1996-97
266,Ricky Pierce,60,11,2,1.3,-1.6,1996-97
267,Rik Smits,52,17.1,6.9,1.3,1.4,1996-97
268,Robert Horry,54,7.8,4.4,2,2.7,1996-97
269,Robert Pack,54,14.3,2.7,8.4,-8.3,1996-97
270,Robert Parish,43,3.7,2.1,0.5,14.9,1996-97
271,Robert Werdann,6,1.5,1,0,-14.5,1996-97
272,Rod Strickland,82,17.2,4.1,8.9,1.7,1996-97
273,Rodney Rogers,81,13.2,5.1,2.7,-3.5,1996-97
274,Rex Walters,59,6.8,1.8,1.9,-11.1,1996-97
275,Rafael Addison,41,3.1,1.1,0.8,-4,1996-97
276,Stacey Augmon,60,4.7,2.3,0.9,6,1996-97
277,Stanley Roberts,18,9.5,5.1,0.5,2.6,1996-97
278,Tracy Moore,27,3.7,1,0.7,-7.7,1996-97
279,Tracy Murray,82,10,3.1,1,1.9,1996-97
280,Travis Best,76,9.9,2.2,4.2,2.5,1996-97
281,Travis Knight,71,4.8,4.5,0.5,6.2,1996-97
282,Tyrone Corbin,70,9.5,4.2,1.8,10.5,1996-97
283,Tyrone Hill,74,12.9,9.9,1.2,5.3,1996-97
284,Tyus Edney,70,6.9,1.6,3.2,-2,1996-97
285,Vernon Maxwell,72,12.9,2.2,2.1,-7,1996-97
286,Vin Baker,78,21,10.3,2.7,-1.6,1996-97
287,Vincent Askew,43,5.6,2.3,2.1,0,1996-97
288,Vinny Del Negro,72,12.3,2.9,3.2,-8.1,1996-97
289,Tony Smith,69,5,1.4,2.2,0.7,1996-97
290,Vitaly Potapenko,80,5.8,2.7,0.5,-0.2,1996-97
291,Voshon Lenard,73,12.3,3,2.2,8.2,1996-97
292,Walt Williams,73,16.4,5,2.7,-1.7,1996-97
293,Walter McCarty,35,1.8,0.7,0.4,3.2,1996-97
294,Wayman Tisdale,53,6.5,2.3,0.4,-3.5,1996-97
295,Wesley Person,80,13.5,3.7,1.5,0.7,1996-97
296,Will Perdue,65,8.7,9.8,0.6,-4.7,1996-97
297,Willie Anderson,28,3,1.5,1.2,-1,1996-97
298,Willie Burton,24,6.2,1.7,0.5,-4.8,1996-97
299,Xavier McDaniel,62,5.6,5.1,1,-0.8,1996-97
300,Yinka Dare,41,1.4,2,0.1,-1.4,1996-97
301,Zan Tabak,13,6.5,3.8,1.1,-12.2,1996-97
302,Vlade Divac,81,12.6,9,3.7,5.4,1996-97
303,Stacey King,11,2.2,2.5,0.1,-18.7,1996-97
304,Tony Massenburg,79,7.2,6.5,0.3,-6.2,1996-97
305,Tony Delk,61,5.4,1.6,1.6,0.9,1996-97
306,Stephen Howard,49,3.6,1.7,0.2,0.1,1996-97
307,Stephon Marbury,67,15.8,2.7,7.8,-3.1,1996-97
308,Steve Hamer,35,2.2,1.7,0.2,-3.1,1996-97
309,Steve Kerr,82,8.1,1.6,2.1,10.1,1996-97
310,Steve Nash,65,3.3,1,2.1,-8.5,1996-97
311,Steve Scheffler,7,1.6,0.4,0,-19.9,1996-97
312,Steven Smith,72,20.1,3.3,4.2,7.4,1996-97
313,Stevin Smith,8,1.8,1.3,0.5,-6.8,1996-97
314,Stojko Vrankovic,53,3.4,3.2,0.3,-7.1,1996-97
315,Terrell Brandon,78,19.5,3.9,6.3,2.7,1996-97
316,Terry Cummings,45,8.2,4.1,0.9,1.3,1996-97
317,Tony Dumas,24,3.6,0.7,1,-4.1,1996-97
318,Terry Dehere,73,6.4,1.3,2.2,-0.5,1996-97
319,Terry Porter,82,6.9,2.1,3.6,2.1,1996-97
320,Theo Ratliff,76,5.8,3.4,0.2,7.3,1996-97
321,Tim Hardaway,81,20.3,3.4,8.6,8.9,1996-97
322,Tim Kempton,10,0.4,0.8,0.2,-6.2,1996-97
323,Tim Legler,15,2.9,1.4,0.5,-3.5,1996-97
324,Todd Day,81,14.5,4.1,1.4,-7.8,1996-97
325,Todd Fuller,75,4,3.3,0.3,-8.6,1996-97
326,Tom Chambers,12,1.6,1.2,0.3,-33.6,1996-97
327,Tom Gugliotta,81,20.6,8.7,4.1,-2,1996-97
328,Tom Hammonds,81,6.2,5,0.8,-7.3,1996-97
329,Toni Kukoc,57,13.2,4.6,4.5,15.2,1996-97
330,Terry Mills,79,10.8,4.8,1.3,11.4,1996-97
331,Priest Lauderdale,35,3.2,1.2,0.3,-4,1996-97
332,Shawn Respert,41,4.2,1,1,-4.1,1996-97
333,Pooh Richardson,59,5.6,1.7,2.9,-5.2,1996-97
334,Kevin Duckworth,26,4,2.3,0.6,-19.5,1996-97
335,Kevin Edwards,32,5.9,1.3,1.8,-10.1,1996-97
336,Kevin Gamble,62,5,1.7,1.2,-5.6,1996-97
337,Kevin Garnett,77,17,8,3.1,2.8,1996-97
338,Kevin Johnson,70,20.1,3.6,9.3,2.9,1996-97
339,Kevin Salvadori,23,1.6,1.1,0.4,3.5,1996-97
340,Kevin Willis,75,11.2,7.5,0.9,0.9,1996-97
341,Khalid Reeves,63,8.2,1.9,3.6,-9.7,1996-97
342,Kobe Bryant,71,7.6,1.9,1.3,2.2,1996-97
343,Kurt Thomas,18,6.3,5.9,0.5,-0.8,1996-97
344,LaPhonso Ellis,55,21.9,7,2.4,-5.9,1996-97
345,LaSalle Thompson,26,0.4,1.3,0.1,-12.8,1996-97
346,Lamond Murray,74,7.4,3.1,0.8,-1.4,1996-97
347,Larry Johnson,76,12.8,5.2,2.3,4.7,1996-97
348,Larry Krystkowiak,3,1,1.7,1,13.9,1996-97
349,Larry Stewart,70,4.3,2.4,0.7,5.8,1996-97
350,Latrell Sprewell,80,24.2,4.6,6.3,-3.3,1996-97
351,Lawrence Moten,67,6.7,1.8,1.9,-10.6,1996-97
352,Lee Mayberry,80,5.1,1.7,4.1,-11,1996-97
353,Lindsey Hunter,82,14.2,2.8,1.9,5.1,1996-97
354,Lionel Simmons,41,3.4,2.5,1.4,-10.5,1996-97
355,Litterial Green,45,2,0.5,0.9,17,1996-97
356,Lloyd Daniels,22,4.5,2,1.2,-8.9,1996-97
357,Kerry Kittles,82,16.4,3.9,3,-5.2,1996-97
358,Kenny Smith,48,6.3,0.9,2.4,-14.2,1996-97
359,Kenny Anderson,82,17.5,4.4,7.1,4.8,1996-97
360,Kendall Gill,82,21.8,6.1,4,-3.6,1996-97
361,Jim Jackson,77,15.9,5.3,4.1,-8.4,1996-97
362,Popeye Jones,79,7.8,8.6,1.1,-2.8,1996-97
363,Jimmy Carruth,4,1.3,1,0,-17.7,1996-97
364,Jimmy King,2,3,1,1,-42.5,1996-97
365,Jimmy Oliver,4,2.8,1.3,0.3,-40.8,1996-97
366,Joe Courtney,9,2.8,1.8,0,-6.1,1996-97
367,Joe Dumars,79,14.7,2.4,4,6.1,1996-97
368,Joe Kleine,59,2.8,3.4,0.6,-7.6,1996-97
369,Joe Smith,80,18.7,8.5,1.6,-3.3,1996-97
370,Joe Stephens,2,1.5,1.5,0,-17.4,1996-97
371,Joe Wolf,56,1.7,2,0.4,-3.5,1996-97
372,Loren Meyer,54,4.9,2.7,0.4,-6.7,1996-97
373,John Crotty,48,4.8,1,2.1,-2.1,1996-97
374,John Starks,77,13.8,2.7,2.8,6.5,1996-97
375,John Stockton,82,14.4,2.8,10.5,11.4,1996-97
376,John Wallace,68,4.8,2.3,0.5,2.7,1996-97
377,Johnny Newman,82,8.7,2.3,1.4,0.2,1996-97
378,Jon Barry,58,4.9,1.7,2,5,1996-97
379,Jud Buechler,76,1.8,1.7,0.8,5.4,1996-97
380,Juwan Howard,82,19.1,8,3.8,1.3,1996-97
381,Karl Malone,82,27.4,9.9,4.5,12.8,1996-97
382,Keith Askins,78,4.9,3.5,1,6.1,1996-97
383,Keith Tower,5,1.4,1.8,0.2,5.6,1996-97
384,Ken Norman,17,3.8,2.3,0.7,-9.1,1996-97
385,John Long,32,4,1.3,0.7,-9.8,1996-97
386,Lorenzen Wright,77,7.3,6.1,0.6,-3.7,1996-97
387,Jim McIlvaine,82,3.8,4,0.3,9.7,1996-97
388,Lou Roe,17,2.4,0.8,0.4,-14.4,1996-97
389,Michael Curry,81,3.9,1.5,0.5,6.7,1996-97
390,Michael Finley,83,15,4.5,2.7,-6.5,1996-97
391,Michael Hawkins,29,2.8,1.1,2.2,-10.3,1996-97
392,Michael Jordan,82,29.6,5.9,4.3,13.4,1996-97
393,Michael Smith,81,6.5,9.5,2.4,-1.8,1996-97
394,Mike Brown,6,2.7,4.2,0.8,1.7,1996-97
395,Mitch Richmond,81,25.9,3.9,4.2,-2,1996-97
396,Mitchell Butler,49,3,1.1,0.6,4.6,1996-97
397,Monty Williams,65,9,3.2,1.4,-6.3,1996-97
398,Moochie Norris,8,1.5,1.5,2.9,-30.5,1996-97
399,Mookie Blaylock,78,17.4,5.3,5.9,10.5,1996-97
400,Michael Cage,82,1.8,3.9,0.5,-12,1996-97
401,Muggsy Bogues,65,8,2.2,7.2,6,1996-97
402,Nate McMillan,37,4.6,3.2,3.8,14.1,1996-97
403,Nick Anderson,63,12,4.8,2.9,3.6,1996-97
404,Nick Van Exel,79,15.3,2.9,8.5,3.8,1996-97
405,Olden Polynice,82,12.5,9.4,2.2,-3.2,1996-97
406,Oliver Miller,61,4.8,5,1.4,-1,1996-97
407,Othella Harrington,57,4.8,3.5,0.3,0.4,1996-97
408,Otis Thorpe,79,13.1,7.9,1.7,6.2,1996-97
409,P.J. Brown,80,9.5,8.4,1.2,7.4,1996-97
410,Patrick Ewing,78,22.4,10.7,2,6.4,1996-97
411,Pervis Ellison,6,2.5,4.3,0.7,1.2,1996-97
412,Lorenzo Williams,19,2.4,3.6,0.2,-10.9,1996-97
413,Nate Driggers,15,2.4,1.5,0.4,-24,1996-97
414,Melvin Booker,21,5.8,1.4,2.5,-3.8,1996-97
415,Pete Chilcutt,54,3.4,2.9,0.9,-16.2,1996-97
416,Matt Maloney,82,9.4,2,3.7,6.3,1996-97
417,Matt Steigenga,2,1.5,1.5,1,-19.8,1996-97
418,Loy Vaught,82,14.9,10,1.3,-7.7,1996-97
419,Luc Longley,59,9.1,5.6,2.4,10.4,1996-97
420,Lucious Harris,54,5.4,1.3,0.9,-5.5,1996-97
421,Mahmoud Abdul-Rauf,75,13.7,1.6,2.5,-4.9,1996-97
422,Malik Rose,54,3,3,0.6,1.3,1996-97
423,Malik Sealy,80,13.5,3,2.1,-8,1996-97
